№,Герб,Город,Регион,Федеральный округ,Население,Основание или первое упоминание,Статус города [5],Прежние названия
79,,Белая Холуница,Кировская область,Приволжский,11232,1764,1965,Белохолуницкий  (до 1965)
80,,Белгород,Белгородская область,Центральный,356426,1596,1596,
81,,Белебей,Башкортостан,Приволжский,60183,1757,1781,
82,,Белёв,Тульская область,Центральный,13918,1147,1147,
83,,Белинский,Пензенская область,Приволжский,8567,1708,1780,Чембар  (до 1948)
84,,Белово,Кемеровская область,Сибирский,76752,1726,1938,
85,,Белогорск,Амурская область,Дальневосточный,68220,1860,1926,Александровское  (до 1926); Александровск  (до 1931); Краснопартизанск  (до 1936); Куйбышевка-Восточная  (до 1957)
86,,Белогорск Оспаривается,Крым,Южный,16354,XIII век,XIII век,Карасубазар  (до 1944)
87,,Белозерск,Вологодская область,Северо-Западный,9614,862,862,Белоозеро
88,,Белокуриха,Алтайский край,Сибирский,15072,1846,1982,
89,,Беломорск,Карелия,Северо-Западный,11217,XII век,1938,Сорока  (до 1938)
90,,Белоозёрский,Московская область,Центральный,17842,1961,2019,
91,,Белорецк,Башкортостан,Приволжский,68804,1762,1923,Белорецкий завод  (до 1923)
92,,Белореченск,Краснодарский край,Южный,53891,1862,1958,Белореченская  (до 1958)
93,,Белоусово,Калужская область,Центральный,8432,1962,2004,
94,,Белоярский,Ханты-Мансийский АО — Югра,Уральский,20283,1969,1988,
95,,Белый,Тверская область,Центральный,3771,1350,1350,
96,,Бердск,Новосибирская область,Сибирский,98809,1716,1944,Бердский острог  (до 1783); Колывань  (до 1797); Бердское  (до 1929)
97,,Березники,Пермский край,Приволжский,156350,1623,1932,
98,,Берёзовский,Кемеровская область,Сибирский,47292,1965,1965,
99,,Берёзовский,Свердловская область,Уральский,51583,1748,1938,
100,,Беслан,Северная Осетия — Алания,Северо-Кавказский,36724,1847,1950,Тулатово  (до 1941); Иристон  (до 1950)
101,,Бийск,Алтайский край,Сибирский,203826,1709,1782,
102,,Бикин,Хабаровский край,Дальневосточный,17156,1895,1938,
