№,Герб,Город,Регион,Федеральный округ,Население,Основание или первое упоминание,Статус города [5],Прежние названия
334,,Игарка,Красноярский край,Сибирский,6183,1929,1931,
335,,Ижевск,Удмуртия,Приволжский,628117,1760,1918,Ижевский завод  (до 1918); Устинов  (с 1984 до 1987)
336,,Избербаш,Дагестан,Северо-Кавказский,56301,1932,1949,
337,,Изобильный,Ставропольский край,Северо-Кавказский,40546,1895,1965,Изобильно-Тищенский  (до 1935); Изобильное  (до 1965)
338,,Иланский,Красноярский край,Сибирский,16108,1646,1939,
339,,Инза,Ульяновская область,Приволжский,18547,1897,1946,
340,,Иннополис,Татарстан,Приволжский,96 [3],2012,2015,
341,,Инсар,Мордовия,Приволжский,8687,1648,1780,
342,,Инта,Коми,Северо-Западный,32021,1940,1954,
343,,Ипатово,Ставропольский край,Северо-Кавказский,26055,1860,1979,Чемрек  (до 1880); Винодельное  (до 1935)
344,,Ирбит,Свердловская область,Уральский,38352,1631,1775,
345,,Иркутск,Иркутская область,Сибирский,587225,1661,1686,"Яндашский острог ,  Иркутский острог"
346,,Исилькуль,Омская область,Сибирский,25905,1895,1945,Исиль-Куль
347,,Искитим,Новосибирская область,Сибирский,60072,1717,1938,
348,,Истра,Московская область,Центральный,35106,1589,1781,Сафатово  (до 1636); Воскресенское  (до 1781); Воскресенск  (до 1930)
349,,Ишим,Тюменская область,Уральский,69567,1687,1782,Коркина слобода  (до 1782)
350,,Ишимбай,Башкортостан,Приволжский,66259,1932,1940,
351,,Йошкар-Ола,Марий Эл,Приволжский,248688,1584,1781,Царевококшайск  (до 1919); Краснококшайск  (до 1928)
352,,Кадников,Вологодская область,Северо-Западный,4797,1492,1780,
353,,Казань,Татарстан,Приволжский,1216965,1005,1005,
354,,Калач,Воронежская область,Центральный,20046,1716,1945,
355,,Калач-на-Дону,Волгоградская область,Южный,26892,1708,1951,Калач  (до 1951)
356,,Калачинск,Омская область,Сибирский,24000,1952,1918,"Калачики ,  Калач"
357,,Калининград,Калининградская область,Северо-Западный,431491,1255,1255,Твангсте  (до 1255); Кёнигсберг  (до 1946)
358,,Калининск,Саратовская область,Приволжский,16442,1680,1962,Баланда  (до 1962)
359,,Калтан,Кемеровская область,Сибирский,21893,1946,1959,
360,,Калуга,Калужская область,Центральный,325185,1371,1371,
361,,Калязин,Тверская область,Центральный,13870,1434,1775,
362,,Камбарка,Удмуртия,Приволжский,11028,1767,1945,
363,,Каменка,Пензенская область,Приволжский,39579,XVIII век,1951,
364,,Каменногорск,Ленинградская область,Северо-Западный,6761,1597,1940,Антреа  (до 1948)
365,,Каменск-Уральский,Свердловская область,Уральский,174710,1682,1935,Железенское поселье  (до 1699); Каменская слобода  (до 1701); Каменский Завод  (до 1935); Каменск  (до 1940)
366,,Каменск-Шахтинский,Ростовская область,Южный,95306,1671,1927,Каменская  (до 1927); Каменск  (до 1929)
367,,Камень-на-Оби,Алтайский край,Сибирский,41787,1751,1915,Камень  (до 1933)
368,,Камешково,Владимирская область,Центральный,13113,1892,1951,Авдотьино
369,,Камызяк,Астраханская область,Южный,16291,1560,1973,
370,,Камышин,Волгоградская область,Южный,119924,1668,1780,Дмитриевск  (до 1780)
371,,Камышлов,Свердловская область,Уральский,26875,1668,1781,"Камышенский острог ,  Камышевская слобода ,  Камышловская слобода"
372,,Канаш,Чувашия,Приволжский,45608,1892,1925,Шихраны  (до 1925)
373,,Кандалакша,Мурманская область,Северо-Западный,35659,1517,1938,
374,,Канск,Красноярский край,Сибирский,94230,1636,1782,
375,,Карабаново,Владимирская область,Центральный,14868,1630,1938,
376,,Карабаш,Челябинская область,Уральский,13151,1822,1933,
377,,Карабулак,Ингушетия,Северо-Кавказский,31081,1859,1995,Карабулакская  (до 1962)
378,,Карасук,Новосибирская область,Сибирский,28929,1912,1954,
379,,Карачаевск,Карачаево-Черкесия,Северо-Кавказский,23848,1926,1929,Микоян-Шахар  (до 1943); Клухори  (до 1957)
380,,Карачев,Брянская область,Центральный,19715,1146,1146,Корачев
381,,Каргат,Новосибирская область,Сибирский,10620,XVIII век,1965,
382,,Каргополь,Архангельская область,Северо-Западный,10148,1447,1613,
383,,Карпинск,Свердловская область,Уральский,29118,1759,1941,Богословск  (до 1933); Угольный  (до 1941)
384,,Карталы,Челябинская область,Уральский,29136,1810,1944,"Полтавский ,  Полтавка"
385,,Касимов,Рязанская область,Центральный,33494,1152,1152,Городец Мещёрский  (до 1376); Новый Низовой Город  (до 1471)
386,,Касли,Челябинская область,Уральский,16998,1747,1942,Каслинский
387,,Каспийск,Дагестан,Северо-Кавказский,103914,1932,1947,Двигательстрой  (до 1947)
388,,Катав-Ивановск,Челябинская область,Уральский,17640,1755,1938,
389,,Катайск,Курганская область,Уральский,14017,1655,1944,
390,,Качканар,Свердловская область,Уральский,42563,1957,1968,
391,,Кашин,Тверская область,Центральный,16174,1238,1238,
392,,Кашира,Московская область,Центральный,41880,1356,1777,
393,,Кедровый,Томская область,Сибирский,2451,1982,1987,
394,,Кемерово,Кемеровская область,Сибирский,532884,1918,1918,Щеглово  (до 1918); Щеглов  (до 1924); Щегловск  (до 1932)
395,,Кемь,Карелия,Северо-Западный,13061,XIV век,1785,
396,,Керчь Оспаривается,Крым,Южный,147033,VII  —  VI век до н. э.,,"Черкио ,  Воспоро ,  Корчев ,  Боспор ,  Пантикапей"
397,,Кизел,Пермский край,Приволжский,20277,1750,1926,Кизеловский завод
398,,Кизилюрт,Дагестан,Северо-Кавказский,36187,1927,1963,"Красный ,  Кизил-Юрт"
399,,Кизляр,Дагестан,Северо-Кавказский,49169,1735,1785,
400,,Кимовск,Тульская область,Центральный,28493,XVII век,1952,Михайловский  (до 1948)
401,,Кимры,Тверская область,Центральный,49623,1546,1917,
402,,Кингисепп,Ленинградская область,Северо-Западный,48667,1384,1784,Ям  (до 1703); Ямбург  (до 1922)
403,,Кинель,Самарская область,Приволжский,34472,1837,1944,
404,,Кинешма,Ивановская область,Центральный,88113,1429,1504,
405,,Киреевск,Тульская область,Центральный,25585,1762,1956,Киреевка
406,,Киренск,Иркутская область,Сибирский,12652,1630,1775,"Никольский погост ,  Усть-Киренск"
407,,Киржач,Владимирская область,Центральный,30044,1332,1778,
408,,Кириллов,Вологодская область,Северо-Западный,7735,1397,1776,
409,,Кириши,Ленинградская область,Северо-Западный,52826,1693,1965,"Киреши ,  Киреш"
410,,Киров,Калужская область,Центральный,31888,1745,1936,Песочня  (до 1936)
411,,Киров,Кировская область,Приволжский,473668,1181,1181,Хлынов  (до 1780); Вятка  (до 1934)
412,,Кировград,Свердловская область,Уральский,21959,1661,1932,Калата  (до 1936)
413,,Кирово-Чепецк,Кировская область,Приволжский,80920,1935,1955,Усть-Чепца  (до 1942); Кирово-Чепецкий  (до 1952)
414,,Кировск,Ленинградская область,Северо-Западный,25633,1931,1953,Невдубрстрой  (до 1953)
415,,Кировск,Мурманская область,Северо-Западный,28659,1929,1931,Хибиногорск  (до 1934)
416,,Кирс,Кировская область,Приволжский,10420,1729,1965,
417,,Кирсанов,Тамбовская область,Центральный,17240,1702,1779,
418,,Киселёвск,Кемеровская область,Сибирский,98382,1917,1936,
419,,Кисловодск,Ставропольский край,Северо-Кавказский,128502,1803,1903,Кисловодская  (до 1903)
420,,Клин,Московская область,Центральный,80584,1317,1781,
421,,Клинцы,Брянская область,Центральный,62510,1707,1925,
422,,Княгинино,Нижегородская область,Приволжский,6708,1569,1998,Княгинин  (до 1925)
423,,Ковдор,Мурманская область,Северо-Западный,18836,1953,1965,
424,,Ковров,Владимирская область,Центральный,145492,XII век,1778,
425,,Ковылкино,Мордовия,Приволжский,21307,1892,1960,"Воскресенская Лашма ,  Лашма ,  Кашаево ,  Арапово"
426,,Когалым,Ханты-Мансийский АО — Югра,Уральский,58192,1975,1985,Когалымский
427,,Кодинск,Красноярский край,Сибирский,14835,1977,1989,
428,,Козельск,Калужская область,Центральный,18203,XII век,1146,
429,,Козловка,Чувашия,Приволжский,10355,1671,1967,
430,,Козьмодемьянск,Марий Эл,Приволжский,21262,1583,,
431,,Кола,Мурманская область,Северо-Западный,10447,1517,1965,
432,,Кологрив,Костромская область,Центральный,3314,XVII век,1778,
433,,Коломна,Московская область,Центральный,144642,1177,1177,
434,,Колпашево,Томская область,Сибирский,24126,XVII век,1938,
435,,Кольчугино,Владимирская область,Центральный,45804,1871,1931,
436,,Коммунар,Ленинградская область,Северо-Западный,20265,1843,1993,"Антропшино ,  Царская Славянка ,  Павловская Славянка ,  посёлок при фабрике Роджерса и Пейффера"
437,,Комсомольск,Ивановская область,Центральный,8693,1931,1950,
438,,Комсомольск-на-Амуре,Хабаровский край,Дальневосточный,263906,1860,1932,Пермское
439,,Конаково,Тверская область,Центральный,41303,1806,1937,Кузнецово  (до 1929)
440,,Кондопога,Карелия,Северо-Западный,32978,1563,1938,
441,,Кондрово,Калужская область,Центральный,16672,1615,1938,Кондырево  (до 1938)
442,,Константиновск,Ростовская область,Южный,17926,1593,1967,Константиновская  (до 1941); Константиновский  (до 1967)
443,,Копейск,Челябинская область,Уральский,137604,1907,1933,
444,,Кораблино,Рязанская область,Центральный,12657,1676,1965,Кораблинск
445,,Кореновск,Краснодарский край,Южный,41179,1794,1961,Кореновская  (до 1961)
446,,Коркино,Челябинская область,Уральский,38950,1795,1942,"Коркина ,  Коркинский"
447,,Королёв,Московская область,Центральный,183452,1938,1938,Подлипки  (до 1928); Калининский  (до 1938); Калининград  (до 1996)
448,,Короча,Белгородская область,Центральный,5877,1637,1638,
449,,Корсаков,Сахалинская область,Дальневосточный,33526,1853,1946,Муравьёвский пост  (до 1854); Корсаковский пост  (до 1905) Отомари  (до 1946)
450,,Коряжма,Архангельская область,Северо-Западный,39629,1535,1985,
451,,Костерёво,Владимирская область,Центральный,9136,1890,1981,
452,,Костомукша,Карелия,Северо-Западный,28433,1977,1983,
453,,Кострома,Костромская область,Центральный,268617,1152,1152,
454,,Котельники,Московская область,Центральный,32347,XVII век,2004,
455,,Котельниково,Волгоградская область,Южный,20441,1897,1955,Котельниковская  (до 1929); Котельниковский  (до 1955)
456,,Котельнич,Кировская область,Приволжский,24979,1143,1780,Кокшаров
457,,Котлас,Архангельская область,Северо-Западный,60562,1617,1917,Кодлас
458,,Котово,Волгоградская область,Южный,24104,1710-е,1966,
459,,Котовск,Тамбовская область,Центральный,31851,1940,1940,Пороховой Завод  (до 1918); Ударный  (до 1919); Красный Боевик  (до 1940)
460,,Кохма,Ивановская область,Центральный,29408,1619,1925,
461,,Красавино,Вологодская область,Северо-Западный,7003,1848,1947,
462,,Красноармейск,Московская область,Центральный,26294,1928,1947,Муромцево  (до 1928); Краснофлотский  (до 1929); Красноармейский  (до 1947)
463,,Красноармейск,Саратовская область,Приволжский,24362,1765,1918,Голый Карамыш  (до 1925); Бальцер  (до 1942)
464,,Красновишерск,Пермский край,Приволжский,17129,1894,1942,Вижаиха  (до 1930)
465,,Красногорск,Московская область,Центральный,116738,1932,1940,
466,,Краснодар,Краснодарский край,Южный,744933,1793,1867,Екатеринодар  (до 1920)
467,,Краснозаводск,Московская область,Центральный,13432,1916,1940,рабочий посёлок завода № 11  (до 1937); Возрождение  (до 1938); Лесной  (до 1939); Краснозаводский  (до 1940)
468,,Краснознаменск,Калининградская область,Северо-Западный,3522,1576,1946,Лаздинай  (до 1734); Лазденен  (до 1938); Хазельберг  (до 1946)
469,,Краснознаменск,Московская область,Центральный,36057,1952,1981,Голицыно-2  (до 1977)
470,,Краснокаменск,Забайкальский край,Сибирский,55668,1967,1969,
471,,Краснокамск,Пермский край,Приволжский,52632,1929,1938,Бумстрой  (до 1930)
472,,Красноперекопск Оспаривается,Крым,Южный,26268,1932,1966,селение при Перекопском бромном заводе  (до 1938)
473,,Краснослободск,Волгоградская область,Южный,16007,1870,1955,Букатин  (до 1923); Красная Слобода  (до 1955)
474,,Краснослободск,Мордовия,Приволжский,10151,1571,1706,Красная Слобода  (до 1780)
475,,Краснотурьинск,Свердловская область,Уральский,59701,1758,1994,Турьинские рудники  (до 1944)
476,,Красноуральск,Свердловская область,Уральский,24973,1925,1931,Богомолстрой  (до 1929); Уралмедьстрой  (до 1931)
477,,Красноуфимск,Свердловская область,Уральский,39765,1736,1781,
478,,Красноярск,Красноярский край,Сибирский,973826,1628,1690,Новокачинский острог  (до 1659); Большой острог  (до 1690)
479,,Красный Кут,Саратовская область,Приволжский,14420,1837,1966,
480,,Красный Сулин,Ростовская область,Южный,40866,1797,1926,Сулин  (до 1926)
481,,Красный Холм,Тверская область,Центральный,5608,1518,1776,
482,,Кремёнки,Калужская область,Центральный,11617,XVIII век,2004,
483,,Кропоткин,Краснодарский край,Южный,80743,1879,1921,Романовский  (до 1921)
484,,Крымск,Краснодарский край,Южный,57370,1862,1958,Крымская  (до 1958)
485,,Кстово,Нижегородская область,Приволжский,66641,XIV век,1957,
486,,Кубинка,Московская область,Центральный,22918,XV век,2004,
487,,Кувандык,Оренбургская область,Приволжский,26176,XIX век,1953,
488,,Кувшиново,Тверская область,Центральный,10008,1910,1938,
489,,Кудрово,Ленинградская область,Северо-Западный,13501 [4],1926,2018,
490,,Кудымкар,Пермский край,Приволжский,30711,1579,1938,
491,,Кузнецк,Пензенская область,Приволжский,88886,1699,1780,"Труёво ,  Труёво-Воскресенское ,  Нарышкино"
492,,Куйбышев,Новосибирская область,Сибирский,47278,1722,1722,Каинск  (до 1935)
493,,Кукмор,Татарстан,Приволжский,17700 [4],1741,2017,Таишевский завод
494,,Кулебаки,Нижегородская область,Приволжский,35762,1677,1932,
495,,Кумертау,Башкортостан,Приволжский,62854,1947,1953,
496,,Кунгур,Пермский край,Приволжский,67857,1663,1781,
497,,Купино,Новосибирская область,Сибирский,15448,1886,1944,Моховое  (до 1909)
498,,Курган,Курганская область,Уральский,333640,1679,1782,Царёво Городище  (до 1738); Курганская слобода  (до 1782)
499,,Курганинск,Краснодарский край,Южный,47974,1855,1961,Курганная  (до 1961)
500,,Курильск,Сахалинская область,Дальневосточный,2070,XVIII век,1947,Сяна  (до 1947)
501,,Курлово,Владимирская область,Центральный,6791,1811,1998,Курловский  (до 1998)
502,,Куровское,Московская область,Центральный,21821,1646,1952,
503,,Курск,Курская область,Центральный,414595,1032,1779,
504,,Куртамыш,Курганская область,Уральский,17098,1745,1956,
505,,Курчалой,Чечня,Северо-Кавказский,25672,1860,2019,Чкалово  (с 1944 до 1958)
506,,Курчатов,Курская область,Центральный,42691,1968,1983,
507,,Куса,Челябинская область,Уральский,18792,1778,1943,Кусинский завод
508,,Кушва,Свердловская область,Уральский,33027,1735,1925,Кушвинский Завод  (до 1926)
509,,Кызыл,Тыва,Сибирский,109906,1914,1914,Белоцарск  (до 1918); Хем-Бельдир  (до 1926)
510,,Кыштым,Челябинская область,Уральский,38950,1757,1934,"Верхне-Кыштымский завод ,  Нижне-Кыштымский завод ,  Кыштымский завод"
511,,Кяхта,Бурятия,Сибирский,20013,1727,1805,Троицкосавск  (до 1934)
512,,Лабинск,Краснодарский край,Южный,62822,1841,1947,Лабинская
513,,Лабытнанги,Ямало-Ненецкий АО,Уральский,26948,1890,1975,
514,,Лагань,Калмыкия,Южный,14323,1870,1963,Каспийский  (с 1944 до 1991)
515,,Ладушкин,Калининградская область,Северо-Западный,3788,1314,1946,Людвигсорт  (до 1946)
516,,Лаишево,Татарстан,Приволжский,7735,1557,2004,Лаишев  (до 1926)
517,,Лакинск,Владимирская область,Центральный,15707,XV век,1969,Ундол  (до 1922); Лакинский  (до 1969)
518,,Лангепас,Ханты-Мансийский АО — Югра,Уральский,41675,1980,1985,
519,,Лахденпохья,Карелия,Северо-Западный,7818,1600,1945,"Якимвара ,  Якимварская станция  (до 1918)"
520,,Лебедянь,Липецкая область,Центральный,20991,1605,1613,
521,,Лениногорск,Татарстан,Приволжский,64145,1795,1955,Новая Письмянка  (до 1955)
522,,Ленинск,Волгоградская область,Южный,15527,1802,1963,Пришиб  (до 1919)
523,,Ленинск-Кузнецкий,Кемеровская область,Сибирский,101666,1763,1925,Кольчугино  (до 1922); Ленино  (до 1925)
524,,Ленск,Якутия,Дальневосточный,24955,1663,1963,Мухтуя  (до 1963)
525,,Лермонтов,Ставропольский край,Северо-Кавказский,22540,1953,1956,населённый пункт рудоуправления № 10  (до 1954); Лермонтовский  (до 1967)
526,,Лесной,Свердловская область,Уральский,52464,1947,1954,База-9  (до 1954); Свердловск-45  (до 1994)
527,,Лесозаводск,Приморский край,Дальневосточный,36975,1932,1938,
528,,Лесосибирск,Красноярский край,Сибирский,61146,1975,1975,"Маклаково ,  Новомаклаково"
529,,Ливны,Орловская область,Центральный,50430,1586,1586,
530,,Ликино-Дулёво,Московская область,Центральный,31331,1930,1937,
531,,Липецк,Липецкая область,Центральный,508124,1703,1779,Липские Заводы  (до 1779)
532,,Липки,Тульская область,Центральный,8741,XVII век,1955,
533,,Лиски,Воронежская область,Центральный,55864,XVI век,1937,Новая Покровка  (до 1928); Свобода  (до 1943); Георгиу-Деж  (с 1965 до 1991)
534,,Лихославль,Тверская область,Центральный,12259,1624,1925,
535,,Лобня,Московская область,Центральный,74350,1902,1961,
536,,Лодейное Поле,Ленинградская область,Северо-Западный,21053,1702,1785,
537,,Лосино-Петровский,Московская область,Центральный,22550,1708,1951,Петровская слобода  (до 1928)
538,,Луга,Ленинградская область,Северо-Западный,36409,1777,1777,
539,,Луза,Кировская область,Приволжский,11262,1899,1944,
540,,Лукоянов,Нижегородская область,Приволжский,14949,XVI век,1779,
541,,Луховицы,Московская область,Центральный,29849,1594,1957,Глуховичи
542,,Лысково,Нижегородская область,Приволжский,21882,1410,1922,
543,,Лысьва,Пермский край,Приволжский,67712,1785,1926,
544,,Лыткарино,Московская область,Центральный,55147,1429,1957,
545,,Льгов,Курская область,Центральный,21452,1152,1779,Ольгов
546,,Любань,Ленинградская область,Северо-Западный,4188,1499,1917,Любани
547,,Люберцы,Московская область,Центральный,171978,1623,1925,
548,,Любим,Ярославская область,Центральный,5553,1538,1777,
549,,Людиново,Калужская область,Центральный,40550,1626,1938,
550,,Лянтор,Ханты-Мансийский АО — Югра,Уральский,38922,1932,1992,"Пим ,  Лянторский"
551,,Магадан,Магаданская область,Дальневосточный,95925,1929,1939,
552,,Магас,Ингушетия,Северо-Кавказский,2505,1994,2000,
553,,Магнитогорск,Челябинская область,Уральский,408401,1929,1931,Магнитная  (до 1929)
554,,Майкоп,Адыгея,Южный,144055,1857,1870,
555,,Майский,Кабардино-Балкария,Северо-Кавказский,26755,XIX век,1965,Пришибская  (до 1925)
556,,Макаров,Сахалинская область,Дальневосточный,6788,1892,1946,Селютора  (до 1945); Сиритору  (до 1946)
557,,Макарьев,Костромская область,Центральный,7114,1439,1778,Макарьевская слобода
558,,Макушино,Курганская область,Уральский,8337,1797,1963,
559,,Малая Вишера,Новгородская область,Северо-Западный,12461,1843,1921,
560,,Малгобек,Ингушетия,Северо-Кавказский,31076,1934,1939,Вознесенское  (до 1934)
561,,Малмыж,Кировская область,Приволжский,8265,XV век,1780,
562,,Малоархангельск,Орловская область,Центральный,3872,XVII век,1778,
563,,Малоярославец,Калужская область,Центральный,30401,1402,1776,
564,,Мамадыш,Татарстан,Приволжский,14432,1391,1781,
565,,Мамоново,Калининградская область,Северо-Западный,7757,1301,1301,Хайлигенбайль  (до 1947)
566,,Мантурово,Костромская область,Центральный,17479,1617,1958,
567,,Мариинск,Кемеровская область,Сибирский,40522,1698,1856,Кийское  (до 1857)
568,,Мариинский Посад,Чувашия,Приволжский,10186,1620,1856,Сундырь  (до 1856)
569,,Маркс,Саратовская область,Приволжский,31535,1765,1918,"Баронск ,  Екатериненштадт  (до 1915); Екатериненград  (до 1920); Марксштадт  (до 1942)"
570,,Махачкала,Дагестан,Северо-Кавказский,577990,1844,1857,Петровское  (до 1857); Петровск-Порт  (до 1921)
571,,Мглин,Брянская область,Центральный,7916,1387,1154,
572,,Мегион,Ханты-Мансийский АО — Югра,Уральский,49471,1810,1980,
573,,Медвежьегорск,Карелия,Северо-Западный,15536,1916,1938,Медвежья Гора  (до 1938)
574,,Медногорск,Оренбургская область,Приволжский,27253,1933,1939,
575,,Медынь,Калужская область,Центральный,8298,1386,1386,
576,,Межгорье,Башкортостан,Приволжский,17353,1979,1995,"Белорецк-15 ,  Белорецк-16"
577,,Междуреченск,Кемеровская область,Сибирский,101995,1946,1955,Ольжерасс  (до 1955)
578,,Мезень,Архангельская область,Северо-Западный,3599,1600 XVI век,1780,
579,,Меленки,Владимирская область,Центральный,15208,XVIII век,1778,
580,,Мелеуз,Башкортостан,Приволжский,61408,1766,1958,
581,,Менделеевск,Татарстан,Приволжский,22075,1868,1967,Бондюжский  (до 1928); Бондюжск  (до 1967)
582,,Мензелинск,Татарстан,Приволжский,16474,1586,1781,
583,,Мещовск,Калужская область,Центральный,4101,1238,1776,
584,,Миасс,Челябинская область,Уральский,151812,1773,1919,Миясский завод
585,,Микунь,Коми,Северо-Западный,10732,1937,1959,
586,,Миллерово,Ростовская область,Южный,36493,1786,1926,Миллеров-Глубокинский
587,,Минеральные Воды,Ставропольский край,Северо-Кавказский,76715,1878,1922,Султановский  (до 1898); Илларионовский  (до 1922)
588,,Минусинск,Красноярский край,Сибирский,71171,1739,1822,
589,,Миньяр,Челябинская область,Уральский,10195,1771,1943,
590,,Мирный,Якутия,Дальневосточный,37179,1955,1959,
591,,Мирный,Архангельская область,Северо-Западный,30259,1957,1967,"Ленинград-400 ,  Ленинград-300 ,  Мирный-12"
592,,Михайлов,Рязанская область,Центральный,11783,1137,1551,
593,,Михайловка,Волгоградская область,Южный,59153,1762,1948,
594,,Михайловск,Свердловская область,Уральский,9215,1805,1961,Михайловский  (до 1961)
595,,Михайловск,Ставропольский край,Северо-Кавказский,71018,1784,1999,Михайловское  (до 1963); Шпаковское  (до 1999)
596,,Мичуринск,Тамбовская область,Центральный,98758,1635,1635,Козлов  (до 1932)
597,,Могоча,Забайкальский край,Сибирский,13228,1910,1950,
598,,Можайск,Московская область,Центральный,31388,1231,1277,
599,,Можга,Удмуртия,Приволжский,47959,1835,1926,Сюгинский завод  (до 1924); Красный  (до 1929)
600,,Моздок,Северная Осетия — Алания,Северо-Кавказский,38748,1763,1785,
601,,Мончегорск,Мурманская область,Северо-Западный,45381,1937,1937,Монча-Губа
602,,Морозовск,Ростовская область,Южный,27644,1910,1941,Таубевская  (до 1917); Морозовская  (до 1938)
603,,Моршанск,Тамбовская область,Центральный,41550,1623,1779,Морша  (до 1779)
604,,Мосальск,Калужская область,Центральный,4285,1231,1776,
605,,Москва,Москва,Центральный,11514330,1147,1147,
606,,Муравленко,Ямало-Ненецкий АО,Уральский,33401,1984,1990,
607,,Мураши,Кировская область,Приволжский,6752,1895,1944,
608,,Мурино,Ленинградская область,Северо-Западный,19775 [4],1676,2019,
609,,Мурманск,Мурманская область,Северо-Западный,307664,1916,1916,Романов-на-Мурмане  (до 1917)
610,,Муром,Владимирская область,Центральный,116078,862,862,
611,,Мценск,Орловская область,Центральный,43216,1146,1778,
612,,Мыски,Кемеровская область,Сибирский,43029,1826,1956,Томазак
613,,Мытищи,Московская область,Центральный,173341,1460,1925,
614,,Мышкин,Ярославская область,Центральный,5932,XV век,1991,Мышкино  (с 1943 до 1991)
615,,Набережные Челны,Татарстан,Приволжский,513242,1626,1930,Брежнев  (с 1982 до 1988)
616,,Навашино,Нижегородская область,Приволжский,16413,1891,1957,Мордовщиково  (до 1957)
617,,Наволоки,Ивановская область,Центральный,10207,1775,1938,
618,,Надым,Ямало-Ненецкий АО,Уральский,46550,1597,1972,
619,,Назарово,Красноярский край,Сибирский,52829,1700,1961,Назаровское
620,,Назрань,Ингушетия,Северо-Кавказский,93357,1781,1967,Коста-Хетагурово  (с 1944 до 1959)
621,,Называевск,Омская область,Сибирский,12119,1910,1956,Сибирский посад  (до 1917); Сибирское  (до 1933); Называевка  (до 1947); Новоназываевск  (до 1956)
622,,Нальчик,Кабардино-Балкария,Северо-Кавказский,240095,1724,1921,
623,,Нариманов,Астраханская область,Южный,11386,1963,1984,Нижневолжский  (до 1984)
624,,Наро-Фоминск,Московская область,Центральный,64640,1840,1926,
625,,Нарткала,Кабардино-Балкария,Северо-Кавказский,31679,1913,1955,Докшукино  (до 1967)
626,,Нарьян-Мар,Ненецкий АО,Северо-Западный,21296,1929,1935,Белощелье
627,,Находка,Приморский край,Дальневосточный,159695,1864,1950,
628,,Невель,Псковская область,Северо-Западный,16324,1562,1773,
629,,Невельск,Сахалинская область,Дальневосточный,11682,1946,1946,Понто-Кэси  (до 1905); Хонто  (до 1946)
630,,Невинномысск,Ставропольский край,Северо-Кавказский,118351,1825,1939,Невинномысская
631,,Невьянск,Свердловская область,Уральский,25147,1701,1919,Невьянский завод
632,,Нелидово,Тверская область,Центральный,22886,1900,1924,
633,,Неман,Калининградская область,Северо-Западный,11794,1277,1722,Рагнит  (до 1946)
634,,Нерехта,Костромская область,Центральный,22817,1214,1778,
635,,Нерчинск,Забайкальский край,Сибирский,14976,1653,1689,"Нелюцкий острог ,  Нерчинский острог"
636,,Нерюнгри,Якутия,Дальневосточный,61746,1975,1975,Нерюнгра
637,,Нестеров,Калининградская область,Северо-Западный,4584,1539,1722,Шталлупёнен  (до 1938); Эбенроде  (до 1946)
638,,Нефтегорск,Самарская область,Приволжский,18732,1960,1989,
639,,Нефтекамск,Башкортостан,Приволжский,121757,1957,1963,
640,,Нефтекумск,Ставропольский край,Северо-Кавказский,27700,1958,1968,
641,,Нефтеюганск,Ханты-Мансийский АО — Югра,Уральский,123276,1961,1967,
642,,Нея,Костромская область,Центральный,9827,1906,1958,
643,,Нижневартовск,Ханты-Мансийский АО — Югра,Уральский,251860,1909,1972,
644,,Нижнекамск,Татарстан,Приволжский,234108,1961,1966,
645,,Нижнеудинск,Иркутская область,Сибирский,37056,1648,1783,"Покровский городок ,  Удинский острожек"
646,,Нижние Серги,Свердловская область,Уральский,11217,1743,1943,
647,,Нижний Ломов,Пензенская область,Приволжский,22678,1636,1780,
648,,Нижний Новгород,Нижегородская область,Приволжский,1250615,1221,1221,Горький  (с 1932 до 1990)
649,,Нижний Тагил,Свердловская область,Уральский,361883,1722,1919,"Тагильский завод ,  Выйский завод"
650,,Нижняя Салда,Свердловская область,Уральский,17969,1760,1938,
651,,Нижняя Тура,Свердловская область,Уральский,21596,1754,1949,Нижне-Туринский завод ; Нижне-Туринск  (до 1927)
652,,Николаевск,Волгоградская область,Южный,15081,1747,1967,
653,,Николаевск-на-Амуре,Хабаровский край,Дальневосточный,22773,1850,1856,Николаевск  (до 1926)
654,,Никольск,Вологодская область,Северо-Западный,8515,XIV век,1780,Никольский погост  (до 1780)
655,,Никольск,Пензенская область,Приволжский,22471,1761,1954,Николо-Пестровка
656,,Никольское,Ленинградская область,Северо-Западный,19345,1710,1990,"Николаевское ,  Плитная Ломка"
657,,Новая Ладога,Ленинградская область,Северо-Западный,8890,1704,1704,
658,,Новая Ляля,Свердловская область,Уральский,12400,1903,1938,Ляля  (до 1903)
659,,Новоалександровск,Ставропольский край,Северо-Кавказский,26759,1804,1971,Новоалександровская  (до 1971)
660,,Новоалтайск,Алтайский край,Сибирский,73134,1736,1942,Чесноковка  (до 1962)
661,,Новоаннинский,Волгоградская область,Южный,17911,1872,1956,
662,,Нововоронеж,Воронежская область,Центральный,32635,1957,1987,Ново-Грэсовский
663,,Новодвинск,Архангельская область,Северо-Западный,40612,1936,1977,Ворошиловский  (до 1957); Первомайский  (до 1977)
664,,Новозыбков,Брянская область,Центральный,40552,1701,1809,Зыбкая  (до 1809)
665,,Новокубанск,Краснодарский край,Южный,34847,1867,1966,Хуторок  (до 1961) Новокубанский  (до 1966)
